date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,mes,año,resultado,oponente,partidos_previos,porcentaje_ganado
2009-08-12,Ecuador,Jamaica,0,0,Friendly,East Rutherford,United States,True,8,2009,empata,Jamaica,1,1.0
2009-09-05,Colombia,Ecuador,2,0,FIFA World Cup qualification,Medellín,Colombia,False,9,2009,pierde,Colombia,37,0.2972972972972973
2009-09-09,Bolivia,Ecuador,1,3,FIFA World Cup qualification,La Paz,Bolivia,False,9,2009,gana,Bolivia,24,0.375
2009-10-10,Ecuador,Uruguay,1,2,FIFA World Cup qualification,Quito,Ecuador,False,10,2009,pierde,Uruguay,40,0.1
2009-10-14,Chile,Ecuador,1,0,FIFA World Cup qualification,Santiago,Chile,False,10,2009,pierde,Chile,42,0.16666666666666666
2010-05-07,Mexico,Ecuador,0,0,Friendly,East Rutherford,United States,True,5,2010,empata,Mexico,16,0.0625
2010-05-16,South Korea,Ecuador,2,0,Friendly,Seoul,South Korea,False,5,2010,pierde,South Korea,1,1.0
2010-09-04,Mexico,Ecuador,1,2,Friendly,Zapopan,Mexico,False,9,2010,gana,Mexico,17,0.058823529411764705
2010-09-07,Venezuela,Ecuador,1,0,Friendly,Barquisimeto,Venezuela,False,9,2010,pierde,Venezuela,18,0.5555555555555556
2010-10-08,Colombia,Ecuador,1,0,Friendly,Harrison,United States,True,10,2010,pierde,Colombia,38,0.2894736842105263
2010-10-12,Ecuador,Poland,2,2,Friendly,Montreal,Canada,True,10,2010,empata,Poland,2,0.5
2010-11-17,Ecuador,Venezuela,4,1,Friendly,Quito,Ecuador,False,11,2010,gana,Venezuela,19,0.5263157894736842
2011-02-09,Honduras,Ecuador,1,1,Friendly,La Ceiba,Honduras,False,2,2011,empata,Honduras,8,0.25
2011-03-26,Colombia,Ecuador,2,0,Friendly,Madrid,Spain,True,3,2011,pierde,Colombia,39,0.28205128205128205
2011-03-29,Ecuador,Peru,0,0,Friendly,The Hague,Netherlands,True,3,2011,empata,Peru,41,0.3170731707317073
2011-04-20,Argentina,Ecuador,2,2,Friendly,Mar del Plata,Argentina,False,4,2011,empata,Argentina,27,0.14814814814814814
2011-05-28,Mexico,Ecuador,1,1,Friendly,Seattle,United States,True,5,2011,empata,Mexico,18,0.1111111111111111
2011-06-01,Canada,Ecuador,2,2,Friendly,Toronto,Canada,False,6,2011,empata,Canada,2,1.0
2011-06-07,Ecuador,Greece,1,1,Friendly,New York,United States,True,6,2011,empata,Greece,0,0.5
2011-07-03,Paraguay,Ecuador,0,0,Copa América,Santa Fe,Argentina,True,7,2011,empata,Paraguay,33,0.30303030303030304
2011-07-09,Venezuela,Ecuador,1,0,Copa América,Salta,Argentina,True,7,2011,pierde,Venezuela,20,0.55
2011-07-13,Brazil,Ecuador,4,2,Copa América,Córdoba,Argentina,True,7,2011,pierde,Brazil,27,0.07407407407407407
2011-08-10,Costa Rica,Ecuador,0,2,Friendly,San José,Costa Rica,False,8,2011,gana,Costa Rica,9,0.3333333333333333
2011-09-02,Ecuador,Jamaica,5,2,Friendly,Quito,Ecuador,False,9,2011,gana,Jamaica,2,0.5
2011-09-06,Ecuador,Costa Rica,4,0,Friendly,Quito,Ecuador,False,9,2011,gana,Costa Rica,10,0.4
2011-10-07,Ecuador,Venezuela,2,0,FIFA World Cup qualification,Quito,Ecuador,False,10,2011,gana,Venezuela,21,0.5238095238095238
2011-10-11,United States,Ecuador,0,1,Friendly,Harrison,United States,False,10,2011,gana,United States,10,0.4
2011-11-11,Paraguay,Ecuador,2,1,FIFA World Cup qualification,Asunción,Paraguay,False,11,2011,pierde,Paraguay,34,0.29411764705882354
2011-11-15,Ecuador,Peru,2,0,FIFA World Cup qualification,Quito,Ecuador,False,11,2011,gana,Peru,42,0.30952380952380953
2012-02-29,Ecuador,Honduras,2,0,Friendly,Guayaquil,Ecuador,False,2,2012,gana,Honduras,9,0.2222222222222222
2012-06-02,Argentina,Ecuador,4,0,FIFA World Cup qualification,Buenos Aires,Argentina,False,6,2012,pierde,Argentina,28,0.14285714285714285
2012-06-10,Ecuador,Colombia,1,0,FIFA World Cup qualification,Quito,Ecuador,False,6,2012,gana,Colombia,40,0.275
2012-08-15,Ecuador,Chile,3,0,Friendly,New York,United States,True,8,2012,gana,Chile,43,0.16279069767441862
2012-09-07,Ecuador,Bolivia,1,0,FIFA World Cup qualification,Quito,Ecuador,False,9,2012,gana,Bolivia,25,0.4
2012-09-11,Uruguay,Ecuador,1,1,FIFA World Cup qualification,Montevideo,Uruguay,False,9,2012,empata,Uruguay,41,0.0975609756097561
2012-10-12,Ecuador,Chile,3,1,FIFA World Cup qualification,Quito,Ecuador,False,10,2012,gana,Chile,44,0.18181818181818182
2012-10-16,Venezuela,Ecuador,1,1,FIFA World Cup qualification,Puerto la Cruz,Venezuela,False,10,2012,empata,Venezuela,22,0.5454545454545454
2013-02-06,Portugal,Ecuador,2,3,Friendly,Guimarães,Portugal,False,2,2013,gana,Portugal,1,0.0
2013-03-21,Ecuador,El Salvador,5,0,Friendly,Quito,Ecuador,False,3,2013,gana,El Salvador,5,0.6
2013-03-26,Ecuador,Paraguay,4,1,FIFA World Cup qualification,Quito,Ecuador,False,3,2013,gana,Paraguay,35,0.2857142857142857
2013-05-29,Ecuador,Germany,2,4,Friendly,Boca Raton,United States,True,5,2013,pierde,Germany,1,0.0
2013-06-07,Peru,Ecuador,1,0,FIFA World Cup qualification,Lima,Peru,False,6,2013,pierde,Peru,43,0.32558139534883723
2013-06-11,Ecuador,Argentina,1,1,FIFA World Cup qualification,Quito,Ecuador,False,6,2013,empata,Argentina,29,0.13793103448275862
